employeeId,timestamp
1006,2023-09-18T05:05+00:00
1011,2023-09-18T05:05+00:00
1019,2023-09-18T05:05+00:00
1005,2023-09-18T05:05+00:00
1006,2023-09-19T05:11+00:00
1011,2023-09-19T05:11+00:00
1019,2023-09-19T05:12+00:00
1006,2023-09-20T05:17+00:00
1019,2023-09-20T05:17+00:00
1005,2023-09-20T05:17+00:00
1011,2023-09-20T05:17+00:00
1006,2023-09-21T05:17+00:00
1019,2023-09-21T05:17+00:00
1011,2023-09-21T05:18+00:00
1005,2023-09-21T05:18+00:00
1006,2023-09-21T17:31+00:00
1019,2023-09-22T05:14+00:00
1005,2023-09-22T05:14+00:00
1006,2023-09-22T05:14+00:00
1011,2023-09-22T05:14+00:00
1006,2023-09-23T05:06+00:00
1019,2023-09-23T05:06+00:00
1005,2023-09-23T05:06+00:00
1011,2023-09-23T05:06+00:00
1006,2023-09-25T05:02+00:00
1011,2023-09-25T05:02+00:00
1005,2023-09-25T05:02+00:00
1019,2023-09-25T05:03+00:00
