employeeId,timestamp
1006,2023-09-18T17:21+00:00
1005,2023-09-18T17:21+00:00
1011,2023-09-18T17:21+00:00
1019,2023-09-18T17:21+00:00
1005,2023-09-19T05:11+00:00
1011,2023-09-19T17:21+00:00
1005,2023-09-19T17:22+00:00
1019,2023-09-19T17:22+00:00
1006,2023-09-19T17:22+00:00
1005,2023-09-20T17:26+00:00
1011,2023-09-20T17:27+00:00
1019,2023-09-20T17:27+00:00
1006,2023-09-20T17:27+00:00
1011,2023-09-21T17:31+00:00
1005,2023-09-21T17:31+00:00
1006,2023-09-21T17:31+00:00
1019,2023-09-21T17:31+00:00
1005,2023-09-22T17:29+00:00
1019,2023-09-22T17:29+00:00
1011,2023-09-22T17:30+00:00
1006,2023-09-22T17:30+00:00
1005,2023-09-23T15:03+00:00
1011,2023-09-23T15:04+00:00
1019,2023-09-23T15:05+00:00
1006,2023-09-23T15:05+00:00
